Instance,Intervals,N,Dem_Cap_Ratio,MILP_Time,MILP_Veh,Status
TD_MALANDRAKI_MICRO_N4_INT2_REP1,2,4,1.0000,N/A,N/A,FAIL
TD_MALANDRAKI_MICRO_N4_INT2_REP2,2,4,0.6226,257.63,2,OPT
TD_MALANDRAKI_MICRO_N4_INT2_REP3,2,4,1.2099,N/A,N/A,FAIL
TD_MALANDRAKI_MICRO_N4_INT2_REP4,2,4,0.5838,345.34,2,OPT
TD_MALANDRAKI_MICRO_N4_INT3_REP1,3,4,1.1410,N/A,N/A,FAIL
TD_MALANDRAKI_MICRO_N4_INT3_REP2,3,4,0.8315,289.52,2,OPT
TD_MALANDRAKI_MICRO_N4_INT3_REP3,3,4,0.7500,449.75,2,OPT
TD_MALANDRAKI_MICRO_N4_INT3_REP4,3,4,1.4783,N/A,N/A,FAIL
TD_MALANDRAKI_MICRO_N6_INT2_REP1,2,6,1.0357,N/A,N/A,FAIL
TD_MALANDRAKI_MICRO_N6_INT2_REP2,2,6,0.8376,334.04,2,OPT
TD_MALANDRAKI_MICRO_N6_INT2_REP3,2,6,1.0342,N/A,N/A,FAIL
TD_MALANDRAKI_MICRO_N6_INT2_REP4,2,6,0.8079,314.21,2,OPT
TD_MALANDRAKI_MICRO_N6_INT3_REP1,3,6,1.5811,N/A,N/A,FAIL
TD_MALANDRAKI_MICRO_N6_INT3_REP2,3,6,0.9241,485.15,3,OPT
TD_MALANDRAKI_MICRO_N6_INT3_REP3,3,6,0.6502,437.76,2,OPT
TD_MALANDRAKI_MICRO_N6_INT3_REP4,3,6,1.0075,N/A,N/A,FAIL
TD_MALANDRAKI_MICRO_N8_INT2_REP1,2,8,0.7348,368.33,2,OPT
TD_MALANDRAKI_MICRO_N8_INT2_REP2,2,8,0.5725,396.91,2,OPT
TD_MALANDRAKI_MICRO_N8_INT2_REP3,2,8,0.8279,550.03,3,FEAS
TD_MALANDRAKI_MICRO_N8_INT2_REP4,2,8,0.8301,518.16,4,FEAS
TD_MALANDRAKI_MICRO_N8_INT3_REP1,3,8,0.7479,534.30,3,FEAS
TD_MALANDRAKI_MICRO_N8_INT3_REP2,3,8,1.2148,N/A,N/A,FAIL
TD_MALANDRAKI_MICRO_N8_INT3_REP3,3,8,0.8342,534.12,4,OPT
TD_MALANDRAKI_MICRO_N8_INT3_REP4,3,8,0.7077,427.03,2,OPT
TD_MALANDRAKI_MICRO_N10_INT2_REP1,2,10,1.0829,N/A,N/A,FAIL
TD_MALANDRAKI_MICRO_N10_INT2_REP2,2,10,0.8203,804.97,4,FEAS
TD_MALANDRAKI_MICRO_N10_INT2_REP3,2,10,0.6960,576.63,3,FEAS
TD_MALANDRAKI_MICRO_N10_INT2_REP4,2,10,0.9289,806.15,5,FEAS
TD_MALANDRAKI_MICRO_N10_INT3_REP1,3,10,0.7249,753.56,4,FEAS
TD_MALANDRAKI_MICRO_N10_INT3_REP2,3,10,0.6383,640.31,3,FEAS
TD_MALANDRAKI_MICRO_N10_INT3_REP3,3,10,1.0184,N/A,N/A,FAIL
TD_MALANDRAKI_MICRO_N10_INT3_REP4,3,10,0.8170,625.02,5,FEAS
